Group	CAC	CDC	CWC	GCCC	GCMCC	CAG	CDG	CWG	GCCG	GCMCG	GCMCG
Trial3	14887.86504	288.404663	53.601122	55	3.694283893	18689.94232	319.670834	63.079677	58	3.103273355	3.103273355
Trial3	13873.98693	294.520336	52.080173	32	2.306474711	18827.4855	295.052866	65.55883	67	3.558627093	3.558627093
Trial3	18649.74343	361.670971	51.954312	63	3.378062557	17756.99305	352.051052	50.238964	53	2.984739582	2.984739582
Trial3	16650.09081	305.179038	51.211418	71	4.264241008	24097.34001	385.808038	64.725586	88	3.651855349	3.651855349
Trial3	16850.0262	286.088525	59.960732	53	3.145395703	20764.81617	362.416953	52.929661	66	3.178453373	3.178453373
Trial3	15110.39436	285.106981	51.016335	53	3.507519311	24273.47981	368.704915	58.697038	74	3.048594622	3.048594622
Trial3	16326.09275	279.112537	70.909357	49	3.001330493	18368.83582	362.936356	41.839081	63	3.429721981	3.429721981
Trial3	16248.21622	305.353712	51.206566	50	3.077260872	28396.12714	417.670264	82.875655	64	2.253828477	2.253828477
Trial3	14861.2299	277.036806	51.901342	38	2.556988907	34948.15995	468.877638	87.976058	70	2.002966682	2.002966682
Trial3	10482.03329	220.31336	49.951471	27	2.575836123	23994.50028	433.861246	54.618813	52	2.167163283	2.167163283
Trial3	15694.54648	269.007909	58.439095	48	3.058387196	26950.57901	425.073355	59.497033	60	2.226297252	2.226297252
Trial3	16127.212	282.911675	52.250421	36	2.232251923	22640.11563	430.401028	52.645335	53	2.340977443	2.340977443
Trial3	13421.19333	254.075899	51.637718	26	1.937234593	22941.13016	415.009974	55.667493	70	3.05128821	3.05128821
Trial3	15826.68555	280.152218	61.918517	44	2.780114628	24646.62137	407.365792	67.614905	67	2.718425337	2.718425337
Trial3	14552.33336	295.723212	49.06802	42	2.886135093	27390.24234	428.239442	64.768565	53	1.934995658	1.934995658
Trial3	15959.39276	286.877556	50.586637	35	2.193065898	28278.2826	438.988192	63.128819	64	2.263220893	2.263220893
Trial3	14875.0757	313.364152	53.599814	47	3.159647786	29042.01943	405.60092	65.164723	78	2.685763647	2.685763647
Trial3	14544.09684	320.977059	48.964632	54	3.712846564	20171.34538	355.331442	48.945536	52	2.577914314	2.577914314
Trial3	17384.08294	391.462226	48.420019	82	4.716958628	21760.39591	331.305763	64.527108	33	1.516516526	1.516516526
Trial3	18559.18761	457.142678	41.372296	59	3.17901846	25083.58503	354.379923	75.8287	43	1.714268513	1.714268513
Trial3	22592.3523	399.218108	50.943123	43	1.903298932	22520.80697	349.117225	65.025524	54	2.397782641	2.397782641
Trial3	16648.54603	398.378783	57.92053	67	4.024375455	15136.98085	270.362923	63.829601	44	2.906788378	2.906788378
Trial3	17593.90091	425.032929	38.206079	42	2.387190891	15215.33939	299.7025	58.727523	45	2.957541652	2.957541652
Trial3	18126.92082	431.110609	43.463337	40	2.206662698	18070.42351	305.579545	65.151737	41	2.268900891	2.268900891
Trial3	23609.4473	470.482301	39.798459	63	2.668423331	12017.49647	268.979629	52.226614	45	3.744540313	3.744540313
Trial3	25739.34197	362.581684	63.437822	63	2.44761502	15906.7045	296.117378	55.779071	35	2.200330056	2.200330056
Trial3	19785.64987	440.306804	69.449013	64	3.234667571	15814.91688	278.142283	53.54784	46	2.908646334	2.908646334
Trial4	29614.02126	355.710913	82.312811	68	2.296209603	43746.54634	585.219165	79.750732	108	2.468766315	2.468766315
Trial4	20708.33888	297.500315	61.397881	50	2.414486275	22044.09194	377.578875	61.322096	75	3.402272146	3.402272146
Trial4	21869.77573	299.506966	67.690476	52	2.377710711	40287.22036	590.888175	68.909411	90	2.233959037	2.233959037
Trial4	22251.81476	338.487773	56.038592	48	2.157127431	31954.78439	402.836561	74.359033	72	2.253183721	2.253183721
Trial4	19914.43676	291.483156	66.608882	41	2.058807913	38387.72163	588.344179	59.894413	72	1.875599722	1.875599722
Trial4	25123.93415	382.832399	67.630039	48	1.91052881	24616.36348	472.671515	54.936504	60	2.437403074	2.437403074
Trial4	23042.1773	371.539435	59.354181	57	2.473724564	40361.75853	578.761887	69.645205	86	2.130729758	2.130729758
Trial4	25579.92318	300.08713	86.550258	44	1.720098989	30185.46075	442.717271	68.296465	68	2.25274017	2.25274017
Trial4	21178.38053	306.734314	73.928595	42	1.983154469	20672.8794	374.201499	61.465604	58	2.805608202	2.805608202
Trial4	16789.67653	297.142404	62.177072	43	2.561097584	25200.76746	357.874118	67.898952	50	1.98406656	1.98406656
Trial4	21925.56196	338.524369	72.436499	65	2.964576239	24250.46719	330.201302	68.888436	59	2.432942819	2.432942819
Trial4	28724.89279	388.201804	66.629094	52	1.810276556	24046.56107	347.250184	81.126178	72	2.994191136	2.994191136
Trial4	18126.38464	313.589836	60.114881	63	3.475596555	24042.60768	273.098466	85.966863	67	2.786719348	2.786719348
Trial4	16828.69637	324.059294	47.3556	27	1.60440235	19779.64846	327.931312	73.41993	57	2.881749901	2.881749901
Trial4	14863.24558	248.317408	43.787342	32	2.152961802	26597.36093	331.019765	74.565428	64	2.40625377	2.40625377
Trial4	19590.92247	420.730821	58.443803	52	2.65429053	28118.99548	330.957225	87.574273	69	2.453857217	2.453857217
Trial4	19424.95532	246.907399	63.058147	58	2.985849854	19947.70011	333.758988	65.740559	57	2.857472275	2.857472275
Trial4	23638.10617	400.38122	60.856597	47	1.988314955	23467.11153	314.945316	73.665785	56	2.386318398	2.386318398
Trial4	18280.1533	398.825998	47.59417	48	2.625798549	21848.27635	331.144235	69.812339	57	2.608901457	2.608901457
Trial4	18699.85094	319.966486	63.895551	43	2.29948357	23338.36836	226.540672	82.371572	75	3.213592264	3.213592264
Trial4	14725.47681	264.306039	57.64973	39	2.648471116	37817.45868	449.147422	80.356218	118	3.120251971	3.120251971
Trial4	16676.92744	289.46665	59.195942	45	2.698338777	25678.29941	418.700504	61.102748	63	2.4534335	2.4534335
Trial4	19212.67923	270.421774	76.52064	58	3.018839762	37316.46807	471.941977	81.465706	104	2.786973296	2.786973296
Trial4	19429.23973	240.58934	72.798949	48	2.470503255	32580.01271	436.552131	74.858482	93	2.854510857	2.854510857
Trial4	17039.41799	267.49342	62.245777	39	2.28881057	28229.29476	394.25821	70.291041	73	2.585966126	2.585966126
Trial4	18282.1298	266.454177	71.011204	51	2.789609338	28437.9309	359.251353	79.940482	97	3.410937326	3.410937326
Trial4	13953.47525	262.787373	56.167226	53	3.798336905	30198.6217	446.100944	64.746613	102	3.377637597	3.377637597
Trial4	16971.45818	239.292589	74.776477	61	3.594269824	37213.81756	517.430098	65.816514	83	2.230354353	2.230354353
Trial4	13988.81342	258.408791	56.913934	32	2.287542127	35703.12966	431.374051	76.635864	78	2.184682428	2.184682428
Trial4	16179.71388	239.88576	65.702529	38	2.348620023	29365.26992	404.080919	79.665365	82	2.792414312	2.792414312
Trial4	18397.93578	333.706875	53.378324	38	2.065449106	28784.42864	534.71272	56.742903	69	2.397129395	2.397129395
Trial4	17167.1153	259.866498	68.37675	46	2.679541624	28818.77804	504.524648	53.724851	58	2.012576658	2.012576658
Trial4	15110.4309	293.583979	51.71399	28	1.853024589	31338.4011	520.169898	58.833118	63	2.010313156	2.010313156
Trial4	18149.88352	268.453968	65.456809	52	2.86503216	29960.35652	498.469242	53.759088	57	1.902514076	1.902514076
Trial4	11179.34071	237.369956	52.954909	25	2.236267832	26855.71504	432.934114	59.433177	54	2.010745196	2.010745196
Trial4	14922.51127	278.257218	49.778319	20	1.340256987	25648.81108	438.094503	55.927107	47	1.832443611	1.832443611
Trial4	23089.82342	315.697905	70.198362	55	2.382001759	29800.49567	396.234746	70.346012	64	2.147615285	2.147615285
Trial4	17818.07966	303.239315	55.66237	34	1.908174206	23599.00875	490.367656	51.186734	41	1.737361108	1.737361108
Trial4	16752.41808	321.437522	49.049553	19	1.134164627	19529.85875	407.993719	51.823301	21	1.075276594	1.075276594
Trial4	16852.18356	277.646479	62.524364	49	2.907635074	30498.83012	538.915582	59.798728	59	1.93450043	1.93450043
Trial4	35215.3231	565.297899	58.898826	77	2.186548162	30995.3243	434.721211	92.566019	90	2.903663763	2.903663763
Trial4	31834.60634	497.654725	66.27396	68	2.136040235	34186.33982	416.828169	60.358431	85	2.486373225	2.486373225
Trial4	34523.70919	556.10689	60.608452	81	2.346213715	30662.90712	419.628528	67.753631	74	2.413339339	2.413339339
Trial4	27292.2137	564.213336	58.585668	67	2.454912626	26154.81555	388.853097	60.619811	84	3.211645666	3.211645666
Trial4	30286.1497	503.680697	66.833564	72	2.377324312	35576.26425	477.160877	69.503839	100	2.810862863	2.810862863
Trial4	28282.94255	528.248355	43.958	53	1.873921001	22130.26767	413.083212	45.874518	74	3.343836644	3.343836644
Trial4	27008.98212	533.063679	53.741162	61	2.258507919	36754.80664	451.425084	67.55232	77	2.094964089	2.094964089
Trial4	28431.90003	570.821703	53.165865	58	2.039962153	36294.21544	499.397874	64.750504	117	3.223654199	3.223654199
Trial4	27306.99861	547.963474	47.664224	53	1.940894375	25013.92519	389.885991	79.711636	77	3.078285372	3.078285372
Trial4	27647.97	575.271523	46.007015	68	2.45949341	20511.83591	314.302243	67.738309	71	3.461416146	3.461416146
