	CAC	CDC	CWC	GCCC	GCMVC	CAG	CDG	CWG	GCCG	GCMCD
Trial3	22136.69507	322.218925	70.413164	31	1.400389711	42616.90527	480.89755	89.963113	45	1.055919
Trial3	18866.37042	308.96817	54.648355	37	1.961161537	15283.86527	272.241336	59.120783	40	2.617139009
Trial3	18794.84517	346.879888	46.360097	28	1.489770187	16183.13664	185.590459	61.617901	48	2.966050467
Trial3	13947.21615	257.489994	56.645808	21	1.505676815	20928.65157	342.648285	62.917982	43	2.054599641
Trial3	20340.31358	327.129475	57.290548	33	1.622393867	12700	202.817984	53.846785	36	2.834645669
Trial3	16765.66164	319.943952	51.64216	22	1.312205893	20409.8373	368.436691	60.473522	60	2.939758858
Trial3	12518.7805	231.311869	49.800659	27	2.156759597	18689.81428	287.448028	63.111677	31	1.658657466
Trial3	17395.33314	277.04654	54.829676	28	1.609627121	9771.658542	215.036816	47.850754	31	3.172439957
Trial3	18049.4167	347.844041	50.539226	27	1.495893216	12417.36413	249.206019	57.132288	50	4.026619456
Trial3	18329.97639	334.726529	37.257	27	1.472996988	19198.44284	300.059835	64.522469	36	1.875152079
Trial3	20425.26461	354.210002	48.861967	39	1.909399988	13229.09346	195.832212	77.229552	38	2.872456841
Trial3	30070.09831	377.856869	70.378943	69	2.294638324	22330.13058	322.299141	71.121379	62	2.776517575
Trial3	21949.27504	332.799784	66.806648	43	1.959062425	22860.46311	371.324241	64.329177	48	2.099694997
Trial3	18538.1572	354.208793	50.513748	50	2.697139713	23914.88283	475.991204	47.05134	51	2.13256324
Trial3	29280.76383	376.050173	75.033524	74	2.527256476	26128.42224	385.227266	74.616928	67	2.564257397
Trial3	21156.55035	340.273021	59.795876	60	2.836001097	25383.89808	398.537094	72.53771	47	1.851567472
Trial3	18453.83492	367.570017	57.596998	45	2.438517533	12989.33362	261.870462	46.11908	23	1.770683599
Trial3	16660.31254	374.983557	47.225021	61	3.661395899	23365.36279	344.185503	80.777223	54	2.31111327
Trial3	23010.81917	312.81843	65.706861	26	1.129903278	10147.7334	274.099517	39.786118	37	3.646134416
Trial3	25026.28455	401.507223	60.921682	64	2.557311289	26773.9382	352.48733	98.14128	58	2.16628572
Trial3	14095.96159	256.431855	54.266893	32	2.270153745	28626.00043	391.350679	79.152185	63	2.200796446
Trial4	18839.09722	291.343498	72.719511	48	2.547892791	22304.28217	293.863478	79.92553	84	3.766092958
Trial4	20929.63781	345.751213	64.874282	23	1.098920116	29299.57213	346.221959	82.153404	76	2.593894535
Trial4	27400.58834	329.707873	99.577568	33	1.204353702	27567.78733	330.216753	71.602598	62	2.249001679
Trial4	24548.65082	410.806015	70.381319	22	0.896179597	26314.90188	375.705068	69.921879	66	2.508084594
Trial4	18354.42421	289.069179	62.823291	28	1.525517755	25366.22224	338.25178	81.298048	70	2.759575286
Trial4	19279.85994	296.785627	71.844439	30	1.556027902	26386.49668	321.945046	82.533073	67	2.53917755
Trial4	26654.53848	418.097583	75.332875	26	0.975443639	23008.59614	296.428334	82.882408	48	2.086176823
Trial4	21179.99332	322.275491	71.453886	19	0.897072993	22617.88439	285.83162	63.610561	66	2.918044803
Trial4	27053.10771	356.291632	80.980163	41	1.515537528	22720.87275	356.250561	60.912567	65	2.860805601
Trial4	24918.97699	360.765691	64.391651	47	1.886112741	32189.3724	364.311211	100.689147	87	2.702755398
Trial4	21680.08265	330.370637	67.277066	58	2.675266553	38301.06483	358.265993	119.014375	76	1.984279036
Trial4	18253.52467	257.93867	66.515981	41	2.246141539	38333.3755	373.870766	93.643075	81	2.113041154
Trial4	17443.62728	247.840286	83.347578	55	3.153013942	30623.03053	467.583859	71.601	77	2.514447417
Trial4	15188.44816	252.539611	71.508753	32	2.106864352	29068.65487	403.690832	75.830596	70	2.408092163
Trial4	14572.92156	300.885044	52.371807	37	2.538955546	28560.23199	368.993705	74.928651	75	2.626029089
Trial4	17232.39349	280.090181	60.930876	56	3.249693667	32561.05533	424.631108	76.86669	75	2.303365147
Trial4	21000.95567	224.510377	87.965912	50	2.380844034	38794.65482	468.830869	83.001278	105	2.706558429
Trial4	22881.95341	239.781226	73.419905	43	1.879210189	27755.04159	361.444113	85.86748	63	2.269857885
Trial4	18801.09684	313.795364	69.176194	45	2.39347738	32195.88961	332.276218	96.965227	53	1.64617287
Trial4	19194.39547	285.535267	64.934997	39	2.0318431	24737.99823	311.298386	82.524613	43	1.738216633
Trial4	22155.80372	259.645862	82.481642	44	1.985935629	37364.65359	522.571787	85.541536	62	1.659322221
Trial4	14639.12607	273.265459	55.578915	26	1.776062306	24147.45924	395.929825	50.064	52	2.153435667
Trial4	23761.92415	296.271486	81.344128	61	2.567132174	34096.89271	479.113436	78.629	44	1.290440169
Trial4	17723.51905	259.238286	68.378201	30	1.692666108	31707.95116	474.759486	71.952527	44	1.387664557
Trial4	28386.33216	312.987733	88.488293	51	1.796639302	29809.34799	331.8942	71.559812	62	2.079884472
Trial4	21525.13875	296.425818	75.894754	56	2.601609246	28559.93864	378.895195	81.538717	39	1.365549153
Trial4	19333.87975	305.605413	64.541975	38	1.965461692	35180.26867	529.416833	67.115971	41	1.165426006
Trial4	17756.93491	297.787507	60.493983	29	1.633164741	25403.14537	430.832446	67.326252	49	1.928894997
Trial4	22159.86525	255.566492	80.459269	39	1.7599385	28899.15268	502.115207	55.113236	41	1.418726717
Trial4	17561.11203	294.385024	68.862424	48	2.733312101	26917.54117	352.891032	68.993852	43	1.597471319
Trial4	15829.6087	279.470719	58.502289	56	3.537674308	38201.27006	511.389627	70.524977	87	2.277411193
Trial4	17820.25303	299.015003	52.975652	35	1.96405741	35806.96383	550.441573	69.110862	91	2.541405086
Trial4	18763.41557	255.634793	61.793639	47	2.504874436	29661.61825	249.849143	92.739484	61	2.056529738
Trial4	19212.7956	324.145607	53.130101	37	1.925799908	34323.96584	420.334255	80.018798	67	1.95198889
Trial4	16661.5021	250.975303	66.516206	32	1.920595142	39232.86854	423.664054	79.062689	80	2.03910657
Trial4	12029.75892	245.168374	46.274575	30	2.493815562	32042.27919	415.386256	57.644554	70	2.184613634
Trial4	16825.77357	289.890597	55.551405	38	2.258439996	26043.17689	426.990439	61.187	46	1.766297568
Trial4	15508.84192	272.95341	59.3848	27	1.740942369	38167.64712	383.462047	71.466909	70	1.834014022
Trial4	20701.77998	269.15765	61.426296	54	2.608471351	31084.32508	409.837032	76.23432	44	1.415504435
Trial4	21867.49252	323.783925	67.241228	41	1.874929188	39224.30852	384.191056	78.75017	67	1.70812444
Trial4	28550.77228	350.420692	84.964667	54	1.891367403					
Trial4	19849.6382	343.469603	43.58713	27	1.360226304					
Trial4	20545.12558	331.736418	59.332488	49	2.38499394					
Trial4	29101.51432	404.98875	70.508561	73	2.508460529					
Trial4	24638.30644	317.602519	62.868204	47	1.907598646					
Trial4	21635.27422	364.87023	63.555785	46	2.126157475					
Trial4	25918.32518	357.839143	85.645091	71	2.739374536					
Trial4	25817.92943	397.964034	58.642532	58	2.246500834					
Trial4	25491.49855	398.501213	72.957064	61	2.39295465					
Trial4	15384.8873	279.232423	61.011034	42	2.72995175					
