"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL14"	"CONTROL15"	"CONTROL16"	"CONTROL17"	"CONTROL18"	"GOS13"	"GOS14"	"GOS15"	"GOS16"	"GOS17"	"CONTROL"	"GOS"	"TOTAL"
"Otu039"	"Otu039"	204	"Bacteria"	"Tenericutes"	"Mollicutes"	"Mycoplasmatales"	"Mycoplasmataceae"	"Mycoplasma"	0	0	1.11687275628241	0.410343759677919	0.792697573865001	0.00790451347719548	0	0	0	0	0.482735660610673	0.0022475950732716	0.256959314775161
"Otu040"	"Otu040"	187	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0	0.13849216653683	0.0664805212072863	0.379374419324868	0.132116262310834	0.268753458224646	0.209457826472247	0.418264203555246	0.210035005834306	0.203682581065667	0.192618662608199	0.23824507776679	0.209094344375866
"Otu041"	"Otu041"	169	"Bacteria"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"	"Leptotrichia"	0	0	0.425475335726632	0.247754722824404	0.132116262310834	0.126472215635128	0.435027793442359	0.139421401185082	0.466744457409568	0	0.178350613526111	0.21127393688753	0.182642650207835
"Otu042"	"Otu042"	165	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0	0	0.0132961042414573	0	0	0.00790451347719548	0	0.243987452073893	0	1.27097930584976	0.00237800818034814	0.368605592016542	0.19901750850233
"Otu043"	"Otu043"	164	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Sharpea"	0	0.0259672812256557	0.438771439968089	0.47228244038402	0.0240211386019697	0.197612836929887	0.0644485619914606	0.243987452073893	0.256709451575263	0.114062245396774	0.235422809854466	0.146093679762654	0.183902254692027
"Otu044"	"Otu044"	154	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	0.0576036866359447	0.13849216653683	0.0132961042414573	0.286466398265717	0.144126831611818	0.268753458224646	0.0966728429871909	1.04566050888811	0.186697782963827	0.0244419097278801	0.159326548083325	0.195540771374629	0.146114120166268
"Otu045"	"Otu045"	150	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0	0.649182030641392	0.106368833931658	0.394859089501394	0.0960845544078789	0.00790451347719548	0.0483364214935954	0	0	0.00814730324262669	0.337677161609436	0.0179807605861728	0.188940672628795
"Otu046"	"Otu046"	145	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.115207373271889	0.077901843676967	0.14625714665603	0.418086094766182	0.0240211386019697	0.0553315943403683	0.0644485619914606	0.139421401185082	0.163360560093349	0.334039432947694	0.185484638067155	0.150588869909197	0.168787000881723
"Otu047"	"Otu047"	137	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Faecalibacterium"	0.0576036866359447	0.147147926945382	0.0398883127243718	0	0	0.015809026954391	0	0.0348553502962705	0.0466744457409568	0.904350659931563	0.0499381717873109	0.260721028499506	0.168787000881723
"Otu048"	"Otu048"	127	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Subdoligranulum"	0.0576036866359447	0.216394010213797	0.0797766254487435	0.255497057912666	0.0720634158059092	0.15809026954391	0.0241682107467977	0	0.0233372228704784	0.260713703764054	0.168838580804718	0.12586532410321	0.158710165008187
