"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL5"	"CONTROL6"	"CONTROL7"	"CONTROL8"	"CONTROL9"	"GOS5"	"GOS6"	"GOS7"	"GOS8"	"CONTROL"	"GOS"	"TOTAL"
"Otu039"	"Otu039"	577	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Romboutsia"	1.24695863746959	0.948608869981908	0.626235992089651	0.0379847370420249	0.2160021600216	0.137398343792937	0.274830978947947	0.120830049908064	0.135274926394525	0.540499868323698	0.161270452789195	0.340172275072176
"Otu040"	"Otu040"	547	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Mitsuokella"	0.349756690997567	0.557429954525451	0.807514831905076	0.783866846230878	0.999009990099901	0	0	0	0	0.685970830563951	0	0.323607364286052
"Otu041"	"Otu041"	420	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	0.319343065693431	1.04151386240282	0	0.155392106081011	0.0900009000090001	0.089123250027851	0.120925630737097	0.0840556868925663	0.131296252088804	0.388758605986883	0.106393701492872	0.239599602442141
"Otu042"	"Otu042"	389	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.372566909975669	0.185809984841817	0	0.35567526502987	0.2070020700207	0.189386906309183	0.340790413895454	0.288941423693197	0.0278507201400493	0.267114784113568	0.195988397486869	0.229542335179138
"Otu043"	"Otu043"	379	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0.288929440389294	1.33978778543836	0.5273566249176	0.0517973686936704	0.00900009000090001	0.0148538750046418	0.0604628153685483	0	0.0159146972228853	0.451461606952509	0.0212787402985743	0.224217899569312
"Otu044"	"Otu044"	347	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0.114051094890511	1.1148599090509	1.56558998022413	0.0103594737387341	0	0	0.0329797174737536	0	0	0.427634466585571	0.00671960219954979	0.2052865729566
"Otu045"	"Otu045"	330	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Howardella"	0.372566909975669	0.122243411080143	0	0.269346317207086	0.738007380073801	0.256229343830072	0.0329797174737536	0.052534804307854	0.0397867430572133	0.293450044519131	0.106393701492872	0.194637701736949
"Otu046"	"Otu046"	319	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Ruminococcus2"	0.395377128953771	0.899711505549851	0.29663810151615	0.0414378949549363	0.1080010800108	0.0779828437743696	0.0384763370527126	0.0367743630154978	0.023872045834328	0.348628685368882	0.0459172816969235	0.188721662170477
"Otu047"	"Otu047"	317	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_unclassified"	0.212895377128954	1.08063175394846	0.016479894528675	0.0828757899098726	0.0360003600036	0.0445616250139255	0.0384763370527126	0.0210139217231416	0.05968011458582	0.348628685368882	0.0425574805971487	0.186946850300535
"Otu048"	"Otu048"	298	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_unclassified"	0.144464720194647	0.929049924209085	0	0.0414378949549363	0.0180001800018	0.0519885625162464	0.109932391579179	0.0788022064617809	0.0994668576430333	0.279655384306693	0.0828750937944474	0.175706375124237
"Otu049"	"Otu049"	291	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.197688564476886	0.122243411080143	0	0.452363686591388	0.2520025200252	0.0816963125255301	0.225361402737317	0.0472813238770686	0.035808068751492	0.26335260405563	0.0907146296939221	0.172156751384353
"Otu050"	"Otu050"	279	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0.714720194647202	0.0146692093296171	2.98286090969018	0	0.00900009000090001	0	0	0	0	0.349882745388194	0	0.165057503904586
"Otu051"	"Otu051"	277	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonellaceae_unclassified"	0.129257907542579	0.0635665737616742	3.2300593276203	0.0103594737387341	0.00900009000090001	0.0742693750232092	0.10443577200022	0	0.0198933715286067	0.288433804441881	0.0492770827966984	0.16209948412135
"Otu052"	"Otu052"	269	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Moraxella"	0.0380170316301703	0.381399442570045	0.0494396835860251	0.0379847370420249	0.00900009000090001	0.0371346875116046	0.615621392843401	0.0630417651694248	0.147210949311689	0.122897881892627	0.191508662687169	0.159141464338113
"Otu053"	"Otu053"	268	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	0.570255474452555	0.30805339592196	1.5820698747528	0.0276252633032909	0.0450004500045	0.0371346875116046	0.00549661957895894	0.0315208825847124	0.0159146972228853	0.309752824770194	0.0235186076984243	0.158549860381466
"Otu054"	"Otu054"	260	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	0.418187347931874	0.185809984841817	2.5049439683586	0.0448910528678476	0	0	0	0	0	0.323547484982631	0	0.152633820814994
"Otu055"	"Otu055"	243	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	0.577858880778589	0.469414698547748	0.774555042847726	0.0276252633032909	0.0720007200072001	0.0222808125069628	0	0.0105069608615708	0	0.294704104538443	0.00895946959939972	0.143759761465285
"Otu056"	"Otu056"	237	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"	0.0380170316301703	0.317832868808371	0	0.0621568424324044	0.00900009000090001	0.0297077500092837	0.175891826526686	0.294194904123982	0.186997692368903	0.111611341718815	0.16015051908927	0.137252117942165
"Otu057"	"Otu057"	229	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcaceae_unclassified"	0.0532238442822384	0.127133147523348	0	0.113954211126075	0.0270002700027	0.0445616250139255	0.0824492936843841	0.246913580246914	0.330229967374871	0.0865301413325642	0.175829590888219	0.133702494202281
"Otu058"	"Otu058"	207	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium_XlVa"	0.0988442822384428	0.831255195344971	0	0.0138126316516454	0	0.0148538750046418	0.00549661957895894	0.0210139217231416	0.035808068751492	0.234509223611442	0.0201588065986494	0.121278811112689
"Otu059"	"Otu059"	207	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales_unclassified"	"Clostridiales_unclassified"	0.402980535279805	0.317832868808371	1.1206328279499	0.0552505266065817	0.00900009000090001	0.00742693750232092	0	0.00525348043078539	0.00397867430572133	0.254574183920442	0.00447973479969986	0.122462019025983
"Otu060"	"Otu060"	204	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	0.167274939172749	0.107574201750526	0.03295978905735	0.196830001035947	0.0810008100081001	0.24508893757659	0.0549661957895894	0.026267402153927	0.0397867430572133	0.140454722163003	0.101913966693172	0.120095603199394
"Otu061"	"Otu061"	203	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0.608272506082725	0.0244486822160286	1.9116677653263	0	0	0	0	0	0.00397867430572133	0.252066063881817	0.00111993369992496	0.119503999242747
"Otu062"	"Otu062"	189	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Coprococcus"	0.593065693430657	0.0391178915456457	1.49967040210943	0.0172657895645568	0.00900009000090001	0.0111404062534814	0.00549661957895894	0	0.00795734861144267	0.229492983534192	0.00671960219954979	0.111813147806333
"Otu063"	"Otu063"	183	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Faecalibacterium"	0.121654501216545	0.224927876387463	1.15359261700725	0.0517973686936704	0.0360003600036	0.0334212187604441	0.0824492936843841	0.00525348043078539	0.0198933715286067	0.189363062916191	0.0335980109977489	0.107080316153154
"Otu064"	"Otu064"	174	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Sharpea"	0.197688564476886	0.0782357830912914	0.016479894528675	0.345315791291136	0.1260012600126	0.00371346875116046	0.0329797174737536	0.052534804307854	0	0.196887423032066	0.0190388728987244	0.102939088456624
"Otu065"	"Otu065"	172	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillales_Incertae_Sedis_XI"	"Gemella"	0.372566909975669	0.00977947288641142	0	0.217548948513416	0.00900009000090001	0.103977125032493	0.0274830978947947	0.0105069608615708	0.083552160420148	0.14421690222094	0.062716287195798	0.101164276586682
"Otu066"	"Otu066"	172	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae_1"	"Clostridium_sensu_stricto"	0.144464720194647	0.5134223265366	0.2636783124588	0.0345315791291136	0	0.0297077500092837	0.0549661957895894	0.0157604412923562	0.00397867430572133	0.188109002896879	0.0246385413983492	0.101755880543329
"Otu067"	"Otu067"	169	"Bacteria"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"	0.114051094890511	0.630776001173537	0.1977587343441	0.0103594737387341	0	0.00371346875116046	0.00549661957895894	0.0210139217231416	0.0159146972228853	0.199395543070691	0.0111993369992496	0.0999810686733873
"Otu068"	"Otu068"	164	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae_1"	"Peptococcus"	0.20529197080292	0.391178915456457	0.379037574159525	0.0725163161711385	0.0360003600036	0.0148538750046418	0.0164898587368768	0.00525348043078539	0.00397867430572133	0.194379302993441	0.0100794032993247	0.097023048890151
"Otu069"	"Otu069"	161	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0	0	0	0.552505266065817	0	0	0	0	0	0.200649603090004	0	0.0946566330635619
"Otu070"	"Otu070"	159	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Coriobacteriales"	"Coriobacteriaceae"	"Atopobium"	0.212895377128954	0.0733460466480857	0	0.0552505266065817	0.0450004500045	0.189386906309183	0.148408728631891	0.0420278434462832	0.035808068751492	0.0802598412360016	0.106393701492872	0.0940650291069147
"Otu071"	"Otu071"	149	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidales_unclassified"	"Bacteroidales_unclassified"	0.357360097323601	0	1.5820698747528	0.0138126316516454	0.00900009000090001	0	0	0	0	0.185600882858254	0	0.0875573855837948
"Otu072"	"Otu072"	147	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Kocuria"	0.00760340632603406	0.0244486822160286	0	0	0	0.0222808125069628	0.0164898587368768	0.20488573680063	0.370016710432084	0.00752436011587515	0.15791065168942	0.0869657816271475
"Otu073"	"Otu073"	145	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0.296532846715328	0	1.56558998022413	0.0310784212162022	0	0	0	0	0	0.179330582761691	0	0.0845993658005585
"Otu074"	"Otu074"	145	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Acidaminococcus"	0.0304136253041363	0.00488973644320571	1.13711272247858	0.165751579819745	0.1080010800108	0.0148538750046418	0.00549661957895894	0	0.00795734861144267	0.168044042587878	0.00783953589947475	0.0834161578872639
"Otu075"	"Otu075"	139	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	0.144464720194647	0.352061023910811	0.1977587343441	0.0241721053903795	0.0810008100081001	0.0259942812581232	0.0164898587368768	0.0210139217231416	0.0198933715286067	0.14923314229819	0.0212787402985743	0.0816413460173222
"Otu076"	"Otu076"	139	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	0.144464720194647	0.0831255195344971	1.35135135135135	0.0138126316516454	0.0720007200072001	0.0148538750046418	0.00549661957895894	0	0.00795734861144267	0.163027802510628	0.00783953589947475	0.0810497420606749
"Otu077"	"Otu077"	125	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Coriobacteriales"	"Coriobacteriaceae"	"Senegalimassilia"	0.0532238442822384	0.23959708571708	0	0.0276252633032909	0.0270002700027	0.0854097812766906	0.0659594349475073	0.0682952456002101	0.0397867430572133	0.0840220212939391	0.0649561545956479	0.0739504945809078
"Otu078"	"Otu078"	122	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	0.0760340632603406	0.396068651899663	0.0823994726433751	0.0207189474774681	0.0270002700027	0.0111404062534814	0.0164898587368768	0.0157604412923562	0.0198933715286067	0.131676302027815	0.0156790717989495	0.0704008708410242
"Otu079"	"Otu079"	118	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	0.319343065693431	0	1.13711272247858	0	0.0270002700027	0.0111404062534814	0.00549661957895894	0	0	0.142962842201628	0.00447973479969986	0.0698092668843769
"Otu080"	"Otu080"	115	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurellaceae_unclassified"	0.0684306569343066	0	0.115359261700725	0.193376843123036	0	0.148538750046418	0.0164898587368768	0	0	0.0902923213905018	0.0481571490967735	0.0680344550144351
