"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL5"	"CONTROL6"	"CONTROL7"	"CONTROL8"	"CONTROL9"	"GOS5"	"GOS6"	"GOS7"	"GOS8"	"CONTROL"	"GOS"	"TOTAL"
"Otu055"	"Otu055"	407	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Fusicatenibacter"	0.0221219361118485	0.250125062531266	0.284900284900285	0.0905979464465472	0.0281017282562878	0.231839258114374	0.252196550602018	0.37254100222616	0.86440407903123	0.115487169035852	0.535638104567934	0.333142342637309
"Otu056"	"Otu056"	405	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	0.0796389700026546	0.337668834417209	0.400641025641026	0.352325347292128	0.843051847688633	0.721277691911386	0.46371623820371	0.236245513606833	0.318674314850223	0.314193033406362	0.34287158905971	0.329049684865352
"Otu057"	"Otu057"	396	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Porphyromonadaceae_unclassified"	0	0.0125062531265633	0.169159544159544	2.15421783772901	0.238864690178446	0.0515198351365276	0.0732183534005857	0	0.533779477374124	0.426283520999983	0.229107743841742	0.324138495539003
"Otu058"	"Otu058"	395	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	1.2122820989293	0.437718859429715	0.293803418803419	0.12079726192873	0.126457777153295	0	0.00813537260006508	0.0636045613556858	0.055768005098789	0.616497681764916	0.0458215487683484	0.320864369321437
"Otu059"	"Otu059"	394	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0	0.0625312656328164	0.454059829059829	1.65089591302597	1.88281579317128	0.20607934054611	0.130165961601041	0	0.055768005098789	0.601212615274876	0.0600420294205944	0.320864369321437
"Otu060"	"Otu060"	380	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcaceae_unclassified"	0.0221219361118485	0.0250125062531266	0.0534188034188034	2.98973223273606	0.126457777153295	0.0515198351365276	0.146436706801171	0	0.163320586360739	0.541770690035835	0.0963832577541121	0.31104199066874
"Otu061"	"Otu061"	378	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcaceae_unclassified"	0	0.0250125062531266	0.0178062678062678	0.593919871149587	0.281017282562878	0.0257599175682638	0.0650829808005207	1.17668438508019	0.10755258126195	0.140962279852584	0.466115754712509	0.309404927559957
"Otu062"	"Otu062"	354	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	0	0.087543771885943	0.142450142450142	0.583853432655526	1.44723900519882	0.437918598660484	0.46371623820371	0.122665939757394	0.274856596558317	0.312494692685246	0.26860907898687	0.289760170254563
"Otu063"	"Otu063"	342	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	0.699053181134413	0.0250125062531266	0.284900284900285	0.593919871149587	0.0281017282562878	0	0.0894890986007159	0.281677343146608	0.0517845761631612	0.429680202442214	0.13588459289924	0.277482196938692
"Otu064"	"Otu064"	330	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0.0088487744447394	0.087543771885943	0.605413105413105	0.140930138916851	0.266966418434734	0.540958268933539	0.268467295802148	0.0181727318159102	0.645315487571702	0.186817479322702	0.347611749277126	0.270115412949169
"Otu065"	"Otu065"	310	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0	0.0625312656328164	0.133547008547009	0.513388363197101	0.562034565125755	0.180319422977846	0.325414904002603	0.536095588569352	0.131453154875717	0.188515820043817	0.312850574349413	0.252926250306949
"Otu066"	"Otu066"	310	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Butyricicoccus"	0.0132731616671091	0.212606303151576	0.979344729344729	0.0100664384940608	0	0.0515198351365276	0.0244061178001952	0.399800099950025	0.34257488846399	0.222482634466127	0.282829559639116	0.253744781861341
"Otu067"	"Otu067"	301	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	0.088487744447394	0.0750375187593797	0.899216524216524	0.241594523857459	0.168610369537727	0.309119010819165	0.341685649202733	0.0908636590795511	0.254939451880178	0.276829537541822	0.218047370001106	0.246377997871818
"Otu068"	"Otu068"	301	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Coprococcus"	0	0.0500250125062531	0	0	0.281017282562878	1.00463678516229	0.47998698340384	0.381627368134115	0.37842574888464	0.0407601773067713	0.437674793408017	0.246377997871818
