VAC1	VAC2	VAC3	VAC4	CAC1	CAC2	CAC3	CAC4	GCVC1	GCVC2	GCVC3	GCVC4	GCCC1	GCCC2	GCCC3	GCCC4	GCMVC1	GCMVC2	GCMVC3	GCMVC4	GCMCC1	GCMCC2	GCMCC3	GCMCC4	VAG1	VAG2	VAG3	VAG4	CAG1	CAG2	CAG3	CAG4	GCVCG1	GCVCG2	GCVCG3	GCVCG4	GCCG1	GCCG2	GCCG3	GCCG4	GCMVG1	GCMVG2	GCMV3	GCMV4	GCMCG1	GCMCG2	GCMCG3	GCMCG4
33785.05347	36388.27994	29684.41249	16499.15136	4900.819679	10513.91682	13618.04219	10483.1904	17	13	14	11	7	12	14	25	0.503181089	0.357257887	0.471627997	0.666700957	1.428332495	1.141344392	1.028047924	2.384770194	40378.51976	30392.11566	48854.73529	46783.31736	5197.808055	9665.581006	8280.415326	12657.71485	27	5	16	13	12	12	18	18	0.668672358	0.164516352	0.327501519	0.277876832	2.308665475	1.241518745	2.173804005	1.422057632
23587.12099	47548.1588	45605.97047	32481.00571	8014.269555	9487.581484	14747.46834	10839.36371	7	9	10	18	17	13	15	11	0.296772124	0.189281777	0.219269536	0.554170033	2.121216398	1.370212211	1.017123729	1.014819716	28512.75989	38726.01828	52893.76273	41654.05637	8481.413004	12668.30318	18337.47967	9068.725624	20	12	7	11	17	13	28	13	0.70144034	0.309869192	0.132340746	0.264079923	2.004382995	1.026183209	1.526927392	1.433497995
35874.7712	55699.05906	26552.92635	26080.07297	6140.591611	10245.61527	14650.60818	8485.65873	20	21	7	13	7	16	7	12	0.557494845	0.377026118	0.263624427	0.498464863	1.139955308	1.561643648	0.477795865	1.414150673	21620.14367	21066.59249	47898.7228	25264.14537	7706.780476	13183.11417	10283.63513	10116.34632	19	5	20	11	11	9	14	10	0.878810071	0.237342608	0.417547668	0.435399648	1.427314562	0.682691501	1.361386302	0.988499176
42887.90034	20924.46592	25512.6905	16247.80794	5801.334962	12755.4705	13547.43526	5562.129481	12	12	16	16	5	15	13	8	0.279799195	0.57349134	0.627138874	0.984748223	0.861870592	1.17596603	0.959591225	1.438298052	33497.41933	24016.50535	28297.01316	25493.72152	10133.46764	11914.68601	7392.391822	9202.644431	26	10	13	9	17	13	20	21	0.776179196	0.416380312	0.459412445	0.353028097	1.677609344	1.09109044	2.705484298	2.281952775
41567.71663	30599.18164	33681.54103	30743.46641	5106.650912	7859.758435	15212.20518	9474.269951	18	7	10	15	10	8	12	15	0.433028356	0.228764288	0.296898529	0.487908546	1.958230584	1.017842987	0.788840267	1.583235445	23585.11177	42078.77803	50618.36511	23715.03999	7261.802993	8135.245797	11803.04261	15701.30183	24	16	18	6	21	9	20	35	1.017591107	0.380239179	0.355602161	0.253004001	2.891843805	1.106297243	1.694478336	2.229114527
	49365.52066		24208.65		15050.09985		20638.64969		14		4		17		13		0.283598751		0.165230197		1.129560612		0.62988617				41696.49214				20093.65858				18				33				0.431690991				1.642309183
	51514.56975		17703.18131		14328.18907		13309.67488		11		1		6		15		0.213531823		0.056487022		0.418754943		1.12699973				43617.98528				19990.72004				17				31				0.389747484				1.550719531
	62561.16853		19636.17362		14037.75839		24218.79209		12		3		19		17		0.191812274		0.152779256		1.35349245		0.701934264				46903.02333				16832.32093				16				13				0.341129396				0.772323677
	53011.98765		38588.54258		22677.14266		13354.16342		14		2		26		14		0.264091211		0.051828856		1.146528925		1.048362189				89513.51929				20490.60778				30				32				0.335144906				1.56169111
	23516.48429		20672.45372		18037.62812		15160.52481		11		1		15		19		0.467756994		0.048373551		0.831594925		1.253254768				61157.43897				21420.71502				28				30				0.457834737				1.400513473
	20463.93994		17053.70848		13104.42047		24625.30684		9		1		15		17		0.439798007		0.058638272		1.144651916		0.690346728				52501.63903				20591.68821				15				25				0.285705366				1.214082097
	41517.543		10934.47396		8785.408542		9343.79215		15		3		6		8		0.361293056		0.274361621		0.682950596		0.856183429				52044.92081				27340.89742				11				52				0.211355879				1.901912699
	35780.89596		30026.67902		10240.81117		24275.46148		18		5		16		10		0.503061746		0.166518582		1.562376236		0.411938616				58082.56469				14198.45778				15				21				0.258253059				1.479033873
	57609.63209		16560.5336		18780.72459		10962.96465		15		5		13		10		0.260373126		0.301922638		0.692199065		0.912162022				64044.07171				10906.24276				13				21				0.20298522				1.92550271
	39261.28227		23938.8018		9881.094125		23787.74772		9		0		12		11		0.229233471		0		1.21444041		0.46242293				29019.79131				18718.92831				16				28				0.551347866				1.495812129
