Group	VAC	CAC	GCVC	GCCC	GCMVC	GCMCC	VAG	CAG	GCVG	GCCG	GCMVG	GCMCG
Trial4	23881.1248	13413.37403	7	20	0.293118522	1.491049154	31500.18195	16595.59044	10	20	0.317458484	1.205139406
Trial4	15501.93515	7340.034472	9	12	0.580572678	1.634869706	40985.96193	19050.45297	10	36	0.243985978	1.889718846
Trial4	21211.88953	10716.28866	1	12	0.047143372	1.119790665	59390.7164	14911.2645	15	29	0.252564726	1.944838413
Trial4	14427.864	13903.05878	2	22	0.138620658	1.582385599	30813.95321	13044.49743	19	15	0.616603779	1.14991015
Trial4	32505.5477	21292.52333	7	29	0.215347856	1.361980426	53458.35028	19307.53056	13	13	0.24317997	0.673312414
Trial4	32107.78837	14611.89245	6	35	0.186870548	2.395309172	23713.89083	19742.92622	11	21	0.463863146	1.06367211
Trial4	19168.97149	20024.20783	3	25	0.156502919	1.24848884	40307.70437	33551.33109	12	32	0.297709835	0.953762458
Trial4	38061.86264	22587.07741	3	45	0.078819054	1.992289625	39359.54995	17955.37824	26	23	0.660576659	1.280953244
Trial4	38733.48798	7829.804493	27	7	0.697071227	0.894019768	46087.46556	15285.81725	15	34	0.325468103	2.224284083
Trial4	40823.48242	12256.80341	17	12	0.416426992	0.979048092	54695.59036	19275.51233	12	22	0.219396114	1.141344501
Trial4	29295.05825	13240.49572	6	14	0.204812701	1.057362224	31220.14162	16310.43604	9	22	0.288275438	1.348829666
Trial4	17694.11081	11062.65074	8	9	0.452127834	0.813548236	56264.2793	15239.44167	16	20	0.284372255	1.312384038
Trial4	36998.15903	10349.129	11	14	0.29731209	1.352770847	25687.2569	13030.5446	8	24	0.31143847	1.841826319
Trial4	16499.15136	10483.1904	11	25	0.666700957	2.384770194	46783.31736	12657.71485	13	18	0.277876832	1.422057632
Trial4	32481.00571	10839.36371	18	11	0.554170033	1.014819716	41654.05637	9068.725624	11	13	0.264079923	1.433497995
Trial4	26080.07297	8485.65873	13	12	0.498464863	1.414150673	25264.14537	10116.34632	11	10	0.435399648	0.988499176
Trial4	16247.80794	5562.129481	16	8	0.984748223	1.438298052	25493.72152	9202.644431	9	21	0.353028097	2.281952775
Trial4	30743.46641	9474.269951	15	15	0.487908546	1.583235445	23715.03999	15701.30183	6	35	0.253004001	2.229114527
Trial4	24208.65	20638.64969	4	13	0.165230197	0.62988617	41696.49214	20093.65858	18	33	0.431690991	1.642309183
Trial4	17703.18131	13309.67488	1	15	0.056487022	1.12699973	43617.98528	19990.72004	17	31	0.389747484	1.550719531
Trial4	19636.17362	24218.79209	3	17	0.152779256	0.701934264	46903.02333	16832.32093	16	13	0.341129396	0.772323677
Trial4	38588.54258	13354.16342	2	14	0.051828856	1.048362189	89513.51929	20490.60778	30	32	0.335144906	1.56169111
Trial4	20672.45372	15160.52481	1	19	0.048373551	1.253254768	61157.43897	21420.71502	28	30	0.457834737	1.400513473
Trial4	17053.70848	24625.30684	1	17	0.058638272	0.690346728	52501.63903	20591.68821	15	25	0.285705366	1.214082097
Trial4	10934.47396	9343.79215	3	8	0.274361621	0.856183429	52044.92081	27340.89742	11	52	0.211355879	1.901912699
Trial4	30026.67902	24275.46148	5	10	0.166518582	0.411938616	58082.56469	14198.45778	15	21	0.258253059	1.479033873
Trial4	16560.5336	10962.96465	5	10	0.301922638	0.912162022	64044.07171	10906.24276	13	21	0.20298522	1.92550271
Trial4	23938.8018	23787.74772	0	11	0	0.46242293	29019.79131	18718.92831	16	28	0.551347866	1.495812129
