Group	VAC	VHC	VWC	CAC	CDC	CWC	VCRC	VAG	VHG	VWG	CAG	CDG	CWG	VCRG
Trial4	21771.7626	161.150649	151.615932	14055.98331	308.243516	53.058593	0.522803046	44866.33336	344.387534	140.045805	14999.74251	297.828926	44.815417	1.156326683
Trial4	15857.32827	219.613944	84.877225	8269.593426	205.880391	44.227648	1.066706465	40664.02222	391.462892	100.686942	9331.61999	241.370959	39.143439	1.621830951
Trial4	47385.85248	344.872085	146.849969	16082.93369	308.16157	47.802354	1.119127492	46478.28171	381.897358	129.331171	11969.72642	369.530232	27.936664	1.033467156
Trial4	20545.82508	191.004448	122.453845	12825.25748	241.153078	55.832589	0.792046486	34930.6687	245.354095	154.559281	13148.6068	260.615676	50.083279	0.94144028
Trial4	20479.78704	253.296269	82.593361	10562.68501	238.913696	49.985022	1.060199868	41176.04402	389.167107	103.808441	17270.28983	400.245526	29.455601	0.972320942
Trial4	22899.92782	298.615431	82.715601	11523.98895	293.958721	43.064271	1.015841374	41672.35572	320.393613	133.737104	10469.99758	246.232902	52.969036	1.30118116
Trial4	35373.13533	394.110459	99.211448	16634.43751	338.28895	55.759135	1.165011328	37333.16771	335.683388	127.909023	14254.04251	282.472817	47.231	1.188374129
Trial4	22402.63399	192.115388	136.870148	21262.51505	485.633919	43.238536	0.395597137	41533.88479	371.007172	139.719769	10487.67014	250.393816	42.618065	1.481694628
Trial4	22289.98051	235.571394	101.542096	18162.0998	404.255949	36.495717	0.58272833	31910.61822	271.977429	117.263	17056.48549	300.816789	53.846896	0.904129819
Trial4	17301.00482	148.418996	115.911927	19893.19184	374.166758	50.636999	0.396665371	51908.46894	381.270408	140.31661	8334.717451	202.73048	38.701489	1.880676295
Trial4	47118.5589	311.769363	197.787824	15740.21692	368.022871	38.447	0.847146706	58792.70294	397.18708	183.414405	11592.33109	225.473447	54.81194	1.761569202
Trial4	36762.83751	286.973503	140.846354	12983.4776	347.924859	48.333483	0.824814599	49792.40332	381.702091	122.3705	10032.0691	223.485018	49.39372	1.707953824
